,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%)
227,MovingAverageCrossOver,HIG,2010-01-01/2023-01-01,0.3,S&P 500,9.119166666666667,11.15
228,MovingAverageCrossOver,HAS,2010-01-01/2023-01-01,0.3,S&P 500,3.935,7.031666666666667
229,MovingAverageCrossOver,HCA,2010-01-01/2023-01-01,0.3,XLV,12.447272727272729,23.331818181818186
230,MovingAverageCrossOver,PEAK,2010-01-01/2023-01-01,0.3,XLRE,-1.3325,0.4975000000000008
231,MovingAverageCrossOver,HSIC,2010-01-01/2023-01-01,0.3,S&P 500,4.605833333333334,11.6075
232,MovingAverageCrossOver,HSY,2010-01-01/2023-01-01,0.3,XLP,11.374166666666667,14.729999999999999
233,MovingAverageCrossOver,HES,2010-01-01/2023-01-01,0.3,XLE,7.269166666666667,9.120833333333334
234,MovingAverageCrossOver,HPE,2010-01-01/2023-01-01,0.3,S&P 500,3.855714285714286,10.709999999999999
235,MovingAverageCrossOver,HLT,2010-01-01/2023-01-01,0.3,S&P 500,10.387777777777778,14.55888888888889
236,MovingAverageCrossOver,HOLX,2010-01-01/2023-01-01,0.3,S&P 500,-0.6774999999999999,14.023333333333333
237,MovingAverageCrossOver,HD,2010-01-01/2023-01-01,0.3,XLY,15.943333333333335,21.896666666666665
238,MovingAverageCrossOver,HON,2010-01-01/2023-01-01,0.3,XLI,6.535,14.24
239,MovingAverageCrossOver,HRL,2010-01-01/2023-01-01,0.3,S&P 500,10.604999999999999,14.193333333333333
240,MovingAverageCrossOver,HST,2010-01-01/2023-01-01,0.3,XLRE,-3.3600000000000008,3.225
241,MovingAverageCrossOver,HWM,2010-01-01/2023-01-01,0.3,XLI,-2.9150000000000005,13.053333333333333
242,MovingAverageCrossOver,HPQ,2010-01-01/2023-01-01,0.3,S&P 500,8.446666666666665,7.9508333333333345
